,Numerical Value,Shoresh
0,2,אא
1,3,בא
2,4,גא
3,5,דא
4,6,הא
5,7,וא
6,8,זא
7,9,חא
8,10,טא
9,11,יא
10,21,כא
11,31,לא
12,41,מא
13,51,נא
14,61,סא
15,71,עא
16,81,פא
17,91,צא
18,101,קא
19,201,רא
20,301,שא
21,401,תא
22,3,אב
23,4,בב
24,5,גב
25,6,דב
26,7,הב
27,8,וב
28,9,זב
29,10,חב
30,11,טב
31,12,יב
32,22,כב
33,32,לב
34,42,מב
35,52,נב
36,62,סב
37,72,עב
38,82,פב
39,92,צב
40,102,קב
41,202,רב
42,302,שב
43,402,תב
44,4,אג
45,5,בג
46,6,גג
47,7,דג
48,8,הג
49,9,וג
50,10,זג
51,11,חג
52,12,טג
53,13,יג
54,23,כג
55,33,לג
56,43,מג
57,53,נג
58,63,סג
59,73,עג
60,83,פג
61,93,צג
62,103,קג
63,203,רג
64,303,שג
65,403,תג
66,5,אד
67,6,בד
68,7,גד
69,8,דד
70,9,הד
71,10,וד
72,11,זד
73,12,חד
74,13,טד
75,14,יד
76,24,כד
77,34,לד
78,44,מד
79,54,נד
80,64,סד
81,74,עד
82,84,פד
83,94,צד
84,104,קד
85,204,רד
86,304,שד
87,404,תד
88,6,אה
89,7,בה
90,8,גה
91,9,דה
92,10,הה
93,11,וה
94,12,זה
95,13,חה
96,14,טה
97,15,יה
98,25,כה
99,35,לה
100,45,מה
101,55,נה
102,65,סה
103,75,עה
104,85,פה
105,95,צה
106,105,קה
107,205,רה
108,305,שה
109,405,תה
110,7,או
111,8,בו
112,9,גו
113,10,דו
114,11,הו
115,12,וו
116,13,זו
117,14,חו
118,15,טו
119,16,יו
120,26,כו
121,36,לו
122,46,מו
123,56,נו
124,66,סו
125,76,עו
126,86,פו
127,96,צו
128,106,קו
129,206,רו
130,306,שו
131,406,תו
132,8,אז
133,9,בז
134,10,גז
135,11,דז
136,12,הז
137,13,וז
138,14,זז
139,15,חז
140,16,טז
141,17,יז
142,27,כז
143,37,לז
144,47,מז
145,57,נז
146,67,סז
147,77,עז
148,87,פז
149,97,צז
150,107,קז
151,207,רז
152,307,שז
153,407,תז
154,9,אח
155,10,בח
156,11,גח
157,12,דח
158,13,הח
159,14,וח
160,15,זח
161,16,חח
162,17,טח
163,18,יח
164,28,כח
165,38,לח
166,48,מח
167,58,נח
168,68,סח
169,78,עח
170,88,פח
171,98,צח
172,108,קח
173,208,רח
174,308,שח
175,408,תח
176,10,אט
177,11,בט
178,12,גט
179,13,דט
180,14,הט
181,15,וט
182,16,זט
183,17,חט
184,18,טט
185,19,יט
186,29,כט
187,39,לט
188,49,מט
189,59,נט
190,69,סט
191,79,עט
192,89,פט
193,99,צט
194,109,קט
195,209,רט
196,309,שט
197,409,תט
198,11,אי
199,12,בי
200,13,גי
201,14,די
202,15,הי
203,16,וי
204,17,זי
205,18,חי
206,19,טי
207,20,יי
208,30,כי
209,40,לי
210,50,מי
211,60,ני
212,70,סי
213,80,עי
214,90,פי
215,100,צי
216,110,קי
217,210,רי
218,310,שי
219,410,תי
220,21,אך
221,22,בך
222,23,גך
223,24,דך
224,25,הך
225,26,וך
226,27,זך
227,28,חך
228,29,טך
229,30,יך
230,40,כך
231,50,לך
232,60,מך
233,70,נך
234,80,סך
235,90,עך
236,100,פך
237,110,צך
238,120,קך
239,220,רך
240,320,שך
241,420,תך
242,31,אל
243,32,בל
244,33,גל
245,34,דל
246,35,הל
247,36,ול
248,37,זל
249,38,חל
250,39,טל
251,40,יל
252,50,כל
253,60,לל
254,70,מל
255,80,נל
